epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.27247,1.33455,2.86811,1.64246,0.57454,0.85,0.87817,0.63489,1.64739,1.07036,1.38135,0,0,0
2,4.48545,1.20404,2.6936,1.511,0.56575,0.85,0.8488,0.6319,1.64479,1.06028,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,6.6823,1.16003,3.63313,1.57307,0.55956,0.85,0.85083,0.63276,1.66528,1.06101,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,8.70061,1.27732,2.74016,1.38869,0.56026,0.85,0.84952,0.61586,1.65912,1.05347,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,10.6837,1.37198,3.08498,1.72643,0.56732,0.85,0.85526,0.63771,1.65728,1.04075,1.36955,4.5715e-06,4.5715e-06,4.5715e-06
6,12.7928,1.56155,4.11387,1.96474,0.54414,0.85,0.8936,0.63825,1.6841,1.05847,1.37585,5.65548e-06,5.65548e-06,5.65548e-06
7,13.2632,1.13979,1.91273,1.4195,0.53944,0.85172,0.89406,0.64255,1.68261,1.05902,1.37526,6.71588e-06,6.71588e-06,6.71588e-06
8,15.3378,1.3752,4.01786,1.6139,0.55028,0.85949,0.85911,0.61257,1.64196,1.05716,1.35111,7.75273e-06,7.75273e-06,7.75273e-06
9,17.3059,1.11606,2.70353,1.41075,0.56882,0.86386,0.81827,0.59503,1.66343,1.05913,1.3616,8.76602e-06,8.76602e-06,8.76602e-06
10,19.9327,1.18718,3.44766,1.59581,0.57994,0.86406,0.81418,0.59503,1.65522,1.05634,1.35488,9.75574e-06,9.75574e-06,9.75574e-06
11,22.0615,1.20778,2.46949,1.45297,0.5906,0.86371,0.85595,0.61995,1.65234,1.06296,1.35418,1.07219e-05,1.07219e-05,1.07219e-05
12,24.0506,0.99169,2.00663,1.36622,0.58559,0.86401,0.85561,0.62083,1.66134,1.07347,1.36177,1.16645e-05,1.16645e-05,1.16645e-05
13,26.0895,0.87069,2.23883,1.1318,0.5904,0.86667,0.85501,0.62082,1.64815,1.07321,1.35173,1.25835e-05,1.25835e-05,1.25835e-05
14,28.0452,1.08371,2.18934,1.48417,0.59767,0.86667,0.88803,0.62731,1.65141,1.09374,1.35615,1.3479e-05,1.3479e-05,1.3479e-05
15,30.0409,0.92895,1.64881,1.12293,0.60689,0.86667,0.88802,0.62731,1.65042,1.10134,1.35724,1.43509e-05,1.43509e-05,1.43509e-05
16,32.0571,1.2228,2.47952,1.6233,0.61014,0.86667,0.87512,0.62676,1.66198,1.12287,1.36685,1.51993e-05,1.51993e-05,1.51993e-05
17,34.0334,0.84422,1.78453,1.19123,0.62054,0.7,0.87291,0.6263,1.66112,1.13346,1.36987,1.60241e-05,1.60241e-05,1.60241e-05
18,36.018,1.15555,1.55014,1.36001,0.62054,0.7,0.87291,0.6263,1.66112,1.13346,1.36987,1.68253e-05,1.68253e-05,1.68253e-05
19,38.1471,0.97781,1.90479,1.13526,0.77382,0.65,0.86227,0.61119,1.66819,1.1775,1.379,1.7603e-05,1.7603e-05,1.7603e-05
20,40.2666,0.89622,1.53556,1.2105,0.77382,0.65,0.86227,0.61119,1.66819,1.1775,1.379,1.83571e-05,1.83571e-05,1.83571e-05
21,42.3602,1.29018,2.49482,1.71275,0.7701,0.65,0.85531,0.61435,1.68156,1.21178,1.38673,1.90876e-05,1.90876e-05,1.90876e-05
22,44.3576,1.08401,2.3397,1.51972,0.7701,0.65,0.85531,0.61435,1.68156,1.21178,1.38673,1.97946e-05,1.97946e-05,1.97946e-05
23,45.015,1.05957,1.82227,1.4726,0.74442,0.65,0.85529,0.61925,1.68003,1.23315,1.38393,2.0478e-05,2.0478e-05,2.0478e-05
24,47.4541,1.12309,2.21234,1.53769,0.74442,0.65,0.85529,0.61925,1.68003,1.23315,1.38393,2.11379e-05,2.11379e-05,2.11379e-05
25,49.4331,0.83384,1.46826,1.2101,0.71121,0.65762,0.85534,0.61104,1.68027,1.27527,1.38362,2.17741e-05,2.17741e-05,2.17741e-05
26,51.5013,1.15577,1.86056,1.45051,0.71121,0.65762,0.85534,0.61104,1.68027,1.27527,1.38362,2.23869e-05,2.23869e-05,2.23869e-05
27,53.4824,0.9166,1.66928,1.3966,0.7037,0.66921,0.85545,0.61336,1.70131,1.3042,1.3985,2.2976e-05,2.2976e-05,2.2976e-05
28,55.4685,0.80305,1.24237,1.14179,0.7037,0.66921,0.85545,0.61336,1.70131,1.3042,1.3985,2.35417e-05,2.35417e-05,2.35417e-05
29,57.7723,0.99783,1.52765,1.27209,0.70025,0.67263,0.85543,0.61078,1.67028,1.31155,1.37824,2.40837e-05,2.40837e-05,2.40837e-05
30,59.7352,1.26557,2.34451,1.59837,0.70025,0.67263,0.85543,0.61078,1.67028,1.31155,1.37824,2.46022e-05,2.46022e-05,2.46022e-05
31,61.6991,0.97673,1.43246,1.29241,0.68806,0.66667,0.85203,0.60885,1.68007,1.34837,1.3839,2.50971e-05,2.50971e-05,2.50971e-05
32,63.6707,0.81117,1.25999,1.21259,0.68806,0.66667,0.85203,0.60885,1.68007,1.34837,1.3839,2.55685e-05,2.55685e-05,2.55685e-05
33,65.5975,0.78883,1.31384,1.35178,0.67029,0.69047,0.85231,0.60726,1.66574,1.38075,1.38005,2.60163e-05,2.60163e-05,2.60163e-05
34,67.5883,1.05626,1.25031,1.30957,0.67029,0.69047,0.85231,0.60726,1.66574,1.38075,1.38005,2.64405e-05,2.64405e-05,2.64405e-05
35,69.5868,0.88838,2.16554,1.30414,0.66252,0.7,0.85257,0.59108,1.67968,1.41641,1.39097,2.68412e-05,2.68412e-05,2.68412e-05
36,71.7213,0.96604,1.4837,1.20261,0.66252,0.7,0.85257,0.59108,1.67968,1.41641,1.39097,2.72183e-05,2.72183e-05,2.72183e-05
37,73.7679,0.78315,1.12095,1.17371,0.64262,0.7,0.85235,0.58344,1.65252,1.44833,1.37452,2.75718e-05,2.75718e-05,2.75718e-05
38,74.2802,0.45924,0.70838,0.96956,0.64262,0.7,0.85235,0.58344,1.65252,1.44833,1.37452,2.79018e-05,2.79018e-05,2.79018e-05
39,76.2478,0.63582,0.9415,1.01574,0.67696,0.69078,0.85226,0.56169,1.62251,1.47588,1.36468,2.82082e-05,2.82082e-05,2.82082e-05
40,78.3334,0.79593,0.83709,1.16365,0.67696,0.69078,0.85226,0.56169,1.62251,1.47588,1.36468,2.84911e-05,2.84911e-05,2.84911e-05
41,80.333,0.76261,0.92772,1.06553,0.68067,0.66897,0.76907,0.48784,1.59255,1.48724,1.35651,2.87504e-05,2.87504e-05,2.87504e-05
42,82.2653,0.88382,1.88931,1.28001,0.68067,0.66897,0.76907,0.48784,1.59255,1.48724,1.35651,2.89861e-05,2.89861e-05,2.89861e-05
43,84.309,0.84625,1.22228,1.22741,0.65801,0.65,0.76243,0.47284,1.60433,1.53272,1.3681,2.91983e-05,2.91983e-05,2.91983e-05
44,86.3002,1.07346,0.9859,1.44877,0.65801,0.65,0.76243,0.47284,1.60433,1.53272,1.3681,2.93869e-05,2.93869e-05,2.93869e-05
45,88.412,0.61346,0.92012,0.99465,0.6836,0.65,0.73496,0.44744,1.61092,1.54543,1.38233,2.9552e-05,2.9552e-05,2.9552e-05
46,90.5133,0.82329,1.00493,1.26607,0.6836,0.65,0.73496,0.44744,1.61092,1.54543,1.38233,2.96935e-05,2.96935e-05,2.96935e-05
47,92.6518,0.87779,1.47066,1.3556,0.73245,0.65,0.73238,0.43911,1.62409,1.59915,1.38867,2.98114e-05,2.98114e-05,2.98114e-05
48,94.6152,0.78713,1.62784,1.1731,0.73245,0.65,0.73238,0.43911,1.62409,1.59915,1.38867,2.99058e-05,2.99058e-05,2.99058e-05
49,96.657,0.67003,0.71642,1.24323,0.69147,0.65,0.70753,0.41453,1.62551,1.62108,1.38962,2.99766e-05,2.99766e-05,2.99766e-05
50,98.8942,0.79522,0.80917,1.29348,0.69147,0.65,0.70753,0.41453,1.62551,1.62108,1.38962,3.00238e-05,3.00238e-05,3.00238e-05
51,100.912,0.85479,0.83103,1.15356,0.65768,0.67126,0.69868,0.40616,1.61009,1.6338,1.38967,3.00475e-05,3.00475e-05,3.00475e-05
52,102.801,0.98556,0.98869,1.35144,0.65768,0.67126,0.69868,0.40616,1.61009,1.6338,1.38967,3.00476e-05,3.00476e-05,3.00476e-05
53,104.755,0.64617,0.69594,1.17573,0.65768,0.67126,0.69868,0.40616,1.61009,1.6338,1.38967,3.00242e-05,3.00242e-05,3.00242e-05
54,105.189,0.7886,0.91793,1.23294,0.67561,0.67102,0.69624,0.40847,1.60979,1.68612,1.39902,2.99772e-05,2.99772e-05,2.99772e-05
55,107.214,0.80867,0.94722,1.12642,0.67561,0.67102,0.69624,0.40847,1.60979,1.68612,1.39902,2.99066e-05,2.99066e-05,2.99066e-05
56,109.147,1.12818,1.46649,1.59944,0.67561,0.67102,0.69624,0.40847,1.60979,1.68612,1.39902,2.98125e-05,2.98125e-05,2.98125e-05
57,111.218,0.93519,1.48679,1.36998,0.73113,0.5,0.69609,0.40874,1.62046,1.71191,1.40626,2.96948e-05,2.96948e-05,2.96948e-05
58,113.191,0.86872,1.46682,1.27025,0.73113,0.5,0.69609,0.40874,1.62046,1.71191,1.40626,2.95535e-05,2.95535e-05,2.95535e-05
59,115.139,0.78672,0.82322,1.1561,0.73113,0.5,0.69609,0.40874,1.62046,1.71191,1.40626,2.93887e-05,2.93887e-05,2.93887e-05
60,117.216,0.99237,0.78209,1.54144,0.73496,0.5,0.67963,0.39018,1.65176,1.79352,1.42453,2.92003e-05,2.92003e-05,2.92003e-05
61,119.229,0.63315,0.68513,1.06273,0.73496,0.5,0.67963,0.39018,1.65176,1.79352,1.42453,2.89884e-05,2.89884e-05,2.89884e-05
62,121.248,0.70588,0.8973,1.04825,0.73496,0.5,0.67963,0.39018,1.65176,1.79352,1.42453,2.87529e-05,2.87529e-05,2.87529e-05
